,name,rating,reviews_count,description,city
75,Harvard Art Museums,4.7,1512,Diverse European & American works,Boston
76,Chinatown,0.0,0,"Asian eateries, markets & Chinatown Park",Boston
77,African Meeting House,5.0,5,"Museum, history, church, historic site, and architecture",Boston
78,Larz Anderson Auto Museum,4.7,705,Antique car & vintage bicycle collection,Boston
79,Boston Ghosts,4.8,201,nan,Boston
80,Boston Tours by Old Town Trolley,4.3,191,nan,Boston
81,King's Chapel,4.6,417,Historic church with daily crypt tours,Boston
82,Spectacle Island,4.6,74,Island with beaches & visitor center,Boston
83,Metropolitan Waterworks Museum,4.7,346,Exhibits on 1st U.S. city water system,Boston
84,Old South Church in Boston,4.6,343,Gothic church with music services,Boston
85,Waterfront,0.0,0,Boston Harbor & New England Aquarium,Boston
86,Leonard P. Zakim Bunker Hill Memorial Bridge,4.7,288,Landmark bridge with cable towers,Boston
87,Piers Park,4.8,408,Park,Boston
88,The Hahvahd Tour,4.7,165,nan,Boston
89,John Fitzgerald Kennedy National Historic Site,4.6,314,Birthplace & home of JFK with tours,Boston
90,Robert Gould Shaw and the 54th Regiment Memorial,4.6,145,Commemorative bronze Civil War monument,Boston
91,Adams National Historical Park,4.6,336,Former compound of a historic family,Boston
92,Longfellow House-Washington's Headquarters National Historic Site,4.7,265,Historic poet's home & war headquarters,Boston
93,Emerald Necklace,4.5,8,Chain of parks linked by walkways,Boston
94,Paul Revere Mall,0.0,0,nan,Boston
95,Old Corner Book Store,3.5,54,Historic building built in bricks,Boston
96,Massachusetts Historical Society,5.0,10,Library of rare early-American documents,Boston
97,Peabody Museum of Archaeology and Ethnology,4.6,509,Anthropological collections at Harvard,Boston
98,Nichols House Museum,4.6,49,Historic Victorian home turned museum,Boston
99,Copley Square,4.7,100,Scenic public square in Back Bay,Boston
100,San Diego Zoo,4.7,47825,"Zoo, safari park & wildlife conservation",San Diego
101,Balboa Park,4.8,65503,"Multi-attraction park covers 1,200 acres",San Diego
102,USS Midway Museum,4.8,38867,Historic aircraft carrier with exhibits,San Diego
103,Seaport Village,4.6,23977,"Waterfront shopping, dining & walking",San Diego
104,Cabrillo National Monument,4.8,10189,Historic lighthouse with expansive views,San Diego
105,Torrey Pines State Reserve,4.8,13004,"Trails, beaches, lagoons & wildlife",San Diego
106,SeaWorld San Diego,4.4,41195,Aquatic theme park with shows & rides,San Diego
107,Petco Park,4.7,17384,Notable stadium for sports & concerts,San Diego
108,San Diego Zoo Safari Park,4.7,21893,Vast wildlife sanctuary with tours,San Diego
109,Old Town San Diego State Historic Park,4.7,25085,Open-air living-history museum,San Diego
110,Belmont Park,4.5,14655,Beachside amusement park with retro vibe,San Diego
111,La Jolla Shores Park,4.7,6795,Grassy & chill spot next to the beach,San Diego
112,Sunset Cliffs Natural Park,4.8,6148,Rocky cliffs overlooking the ocean,San Diego
113,Children's Pool La Jolla,4.7,7347,Small beach with harbor seals,San Diego
114,Birch Aquarium at Scripps Institution of Oceanography,4.5,6086,Up-close marine life & hands-on exhibits,San Diego
115,Maritime Museum of San Diego,4.7,3482,Destination for restored antique ships,San Diego
116,Gaslamp Quarter,0.0,0,Balboa Theatre & busy nightlife spots,San Diego
117,"Hotel del Coronado, Curio Collection by Hilton",4.5,16620,Lively beachfront property with dining,San Diego
118,Mt. Soledad National Veterans Memorial,4.8,4275,Large monument honoring veterans,San Diego
119,Mission Basilica San Diego de Alcala,4.7,1395,California's first Franciscan mission,San Diego
120,La Jolla Cove,4.8,2298,"Swimming, scuba diving & picnicking",San Diego
121,The San Diego Museum of Art,4.6,1842,Renowned collections & an outdoor eatery,San Diego
122,Little Italy,0.0,0,Trendy cocktail bars & upscale shopping,San Diego
123,San Diego Air & Space Museum,4.6,4124,Aviation history exhibits & a gift shop,San Diego
124,Old Town,0.0,0,Famous area known as state's birthplace,San Diego
125,Mission Beach,0.0,0,"SeaWorld, surfing & casual eateries",San Diego
126,Pacific Beach,0.0,0,"Surfing, sunbathing & boardwalk bars",San Diego
127,San Diego Natural History Museum,4.6,2754,"Big, comprehensive science museum",San Diego
128,Fleet Science Center,4.5,3120,Hands-on exhibits & IMAX theater,San Diego
129,Waterfront Park,4.7,8324,"Park with fountains, lawns & a play area",San Diego
130,Coronado Bridge,4.6,618,Curved bridge with skyline views,San Diego
131,LEGOLAND California,4.5,29793,Vibrant Lego-themed hotel with a pool,San Diego
132,Coronado Island,4.8,743,"Beaches, old town & a Victorian hotel",San Diego
133,La Jolla Cove,4.8,9378,nan,San Diego
134,Chicano Park,4.6,3708,Public space with colorful murals,San Diego
135,Whaley House Museum,4.4,1607,19th-century U.S. history museum,San Diego
136,Museum of Us,4.3,2006,Anthropology displays in historic digs,San Diego
137,Mission Beach Boardwalk | Ocean Front Walk,4.7,4198,Bustling promenade with ocean vistas,San Diego
138,Torrey Pines Gliderport,4.8,4052,nan,San Diego
139,Presidio Park,4.6,1491,Historical park with a cultural museum,San Diego
140,Mission Trails Regional Park,4.7,7321,Expansive recreational area with trails,San Diego
141,The New Children�s Museum,4.5,2378,Hands-on artwork & creative play spaces,San Diego
142,Japanese Friendship Garden,4.6,6856,"Bonsai trees, koi ponds & garden tours",San Diego
143,Liberty Public Market,4.7,5355,Eateries & vendors in a historic space,San Diego
144,Botanical Building,4.7,4161,Lush park with a garden & domed building,San Diego
145,Point Loma,0.0,0,Cabrillo National Monument & seafood,San Diego
146,Mission Bay,4.7,213,Boating & beaches in scenic surrounds,San Diego
147,Spruce Street Suspension Bridge,4.7,2410,Historical footbridge with scenic views,San Diego
148,San Diego Convention Center,4.5,7347,nan,San Diego
149,Gaslamp Quarter Station,4.5,31,nan,San Diego
150,Ocean Beach,0.0,0,Ocean Beach surfing & antiques shops,San Diego
151,Museum of Photographic Arts,4.5,479,Vast photo collection in a grand locale,San Diego
152,City Cruises San Diego Whale Watching & Harbor Tours,4.5,1095,nan,San Diego
153,Ocean Beach Pier,4.6,8719,Long fishing pier with sunset views,San Diego
154,Embarcadero,0.0,0,Bayside parks & shops at Seaport Village,San Diego
155,Coronado Ferry Center,4.7,8050,Shopping mall with waterfront views,San Diego
156,Coronado Ferry Terminal,4.6,729,nan,San Diego
157,Coronado Beach,4.8,1273,Popular beach for swimming & surfing,San Diego
158,Spreckels Organ Pavilion,4.7,857,nan,San Diego
159,Black's Beach,4.7,616,"Secluded, clothing optional beach",San Diego
160,Torrey Pines Golf Course,4.7,2282,Famed course atop ocean cliffs,San Diego
161,Old Point Loma Lighthouse,4.7,2049,Refurbished 1850s landmark with exhibits,San Diego
162,Sunset Cliffs,0.0,0,"Clifftop lookouts, caves & surfing",San Diego
163,Harper's Topiary Garden,4.5,302,Garden,San Diego
164,Spanish Village Art Center,4.7,1974,Vibrant complex with art shops & classes,San Diego
165,Windansea Beach,4.8,358,Storied surf beach with an iconic shack,San Diego
166,Mission Bay,0.0,0,"SeaWorld, beaches & sailing trips",San Diego
167,la Jolla Shores Beach,4.7,3627,Scuba classes & gentle waves,San Diego
168,Liberty Station,0.0,0,"Liberty Public Market, shops & galleries",San Diego
169,Torrey Pines State Beach,4.7,444,Sandy surfing & swimming beach,San Diego
170,Star of India,4.7,1120,Historical sailing ship turned museum,San Diego
171,San Diego Model Railroad Museum,4.6,797,Scale models of California railroads,San Diego
172,Balboa Theatre,4.6,1428,Historic venue for live concerts & plays,San Diego
173,San Diego Automotive Museum,4.4,1443,Showcase of vintage cars & motorcycles,San Diego
174,Fiesta Island Park,4.6,929,"Peninsula for picnics, parties & pooches",San Diego
175,The Flower Fields,4.5,5222,Seasonal spot for floral family fun,San Diego
176,Timken Museum of Art,4.6,763,"Intimate, curated 5-room gallery",San Diego
177,Soledad Mountain,4.8,252,Iconic mountain with a famous cross,San Diego
178,Anza-Borrego Desert State Park,4.7,3147,Large park with campground & wildflowers,San Diego
179,Coronado,0.0,0,Hotel del Coronado & Coronado Beach,San Diego
180,San Diego Botanic Garden,4.7,2704,Sprawling locale with unique vegetation,San Diego
181,Bernardo Winery,4.6,465,"Gardens, a tasting room & art galleries",San Diego
182,Mingei International Museum,4.6,332,"Exhibits on folk art, craft & design",San Diego
183,Los Pe�asquitos Canyon Preserve,4.6,516,"Trails through canyons, forests, streams",San Diego
184,Orfila Vineyards and Winery,4.5,402,Tastings of French & Italian varietals,San Diego
185,Ellen Browning Scripps Memorial Pier,4.8,509,Research facility & popular photo spot,San Diego
186,Ellen Browning Scripps Park,4.8,678,Picturesque spot overlooking the ocean,San Diego
187,Giant Dipper Roller Coaster,4.5,484,High-speed wooden coaster built in 1925,San Diego
188,San Diego Seal Tours,4.3,32,nan,San Diego
189,Moonlight State Beach,4.7,2133,"Volleyball, children's play area & more",San Diego
190,San Diego Harbor Cruise,5.0,1,nan,San Diego
191,Tourmaline Surf Park,4.6,425,Surfing and beach,San Diego
192,Tijuana River National Estuarine Research Reserve,4.5,556,Wetland nature space with hiking trails,San Diego
193,Flying Leatherneck Aviation Museum,4.7,511,Marine Corps history & visitor center,San Diego
194,Museum of Contemporary Art San Diego,4.3,180,Unique gift shop selling jewelry & books,San Diego
195,San Diego History Center,4.5,134,"History, art, and museum",San Diego
196,Fort Rosecrans National Cemetery,4.9,318,Military cemetery with memorials & views,San Diego
197,Sesame Place San Diego,4.1,3757,Family theme park with shows & rides,San Diego
198,Manta,4.6,168,Ray-themed coaster with 50-ft drops,San Diego
199,California Tower,4.7,189,Ornamental landmark with history tours,San Diego
200,Monterey Bay Aquarium,4.7,32756,Sprawling marine life attraction,Monterey
201,Old Fisherman's Wharf,4.5,13834,Quaint landmark with dining & shopping,Monterey
202,Dennis The Menace Playground,4.7,2753,Sizable kids' playground & park,Monterey
203,Cannery Row,4.6,116,"Old cannery buildings, shops & dining",Monterey
204,Colton Hall Museum and Jail,4.6,142,Exhibits dedicated to California history,Monterey
205,Monterey Museum of Art,4.6,28,Museum in a historic former estate,Monterey
206,San Carlos Cathedral,4.8,384,Historic Spanish colonial church,Monterey
207,Del Monte Beach,4.6,1801,Waterfront with boardwalk & dunes,Monterey
208,Monterey State Historic Park,4.8,6,Museum,Monterey
209,17 Mile Drive,0.0,0,Scenic route along the Pacific coastline,Monterey
210,Point Lobos State Natural Reserve,4.8,7839,"Coastal hikes, diving & a whaling museum",Monterey
211,Carmel-by-the-Sea,0.0,0,"Beaches, art galleries & Carmel Mission",Monterey
212,Lovers Point Park,4.8,6495,Small beachside recreation spot,Monterey
213,Point Pinos Lighthouse (1855),4.5,889,Historic light tower from 1850s,Monterey
214,Monterey County Youth Museum,4.7,279,Children's museum with hands-on exhibits,Monterey
215,Monterey State Beach,4.6,1152,Scenic beach area on Monterey Bay,Monterey
216,Monterey Bay Whale Watch,4.7,1305,nan,Monterey
217,Asilomar State Beach,4.8,2703,Scenic beach area with rocky coves,Monterey
218,Monterey Plaza Hotel & Spa,4.6,2930,nan,Monterey
219,Jacks Peak Park,4.7,436,Pine forest hikes & vista views,Monterey
220,Monterey Regional Airport,4.5,407,nan,Monterey
221,"InterContinental the Clement Monterey, an IHG Hotel",4.5,2110,nan,Monterey
222,McAbee Beach,4.6,145,Beach and scuba diving,Monterey
223,Monterey State Historic Park Office,4.5,63,nan,Monterey
224,Presidio of Monterey Museum,4.5,39,"Museum, salvador dal�, and maritime museum",Monterey
225,Portola Hotel & Spa at Monterey Bay,4.3,2871,nan,Monterey
226,Discovery Whale Watch,4.8,828,nan,Monterey
227,Victorian Inn,4.4,960,nan,Monterey
228,Carmel Mission Basilica Museum,4.6,2598,Historic 18th-century church & museums,Monterey
229,Hyatt Regency Monterey Hotel And Spa On Del Monte Golf Course,4.2,2672,nan,Monterey
230,Golden State Theatre,4.5,314,nan,Monterey
231,Casa Munras Garden Hotel & Spa,4.3,973,nan,Monterey
232,Princess Monterey Whale Watching,4.5,350,nan,Monterey
233,Lone Cypress,4.6,5246,Lookout known for an iconic cypress tree,Monterey
234,Embassy Suites by Hilton Monterey Bay Seaside,4.3,2039,nan,Monterey
235,Best Western Plus Monterey Inn,4.2,843,nan,Monterey
236,Lone Oak Lodge,4.2,710,nan,Monterey
237,Stage Coach Lodge Monterey,4.3,431,nan,Monterey
238,Pebble Beach,0.0,0,"Golf, beach, country club, and wine",Monterey
239,Holiday Inn Express,4.2,556,nan,Monterey
240,El Castell Motel,4.1,780,nan,Monterey
241,Laguna Grande Regional Park Trail,0.0,0,Music,Monterey
242,Ramada by Wyndham Monterey,4.1,588,nan,Monterey
243,Padre Oaks Inn,4.2,277,nan,Monterey
244,Pacific Grove,0.0,0,"Butterflies, beach, lighthouse, golf, and natural history",Monterey
245,The Inn at Spanish Bay,4.7,2064,nan,Monterey
246,"Bella on the Bay, Monterey Sailing",5.0,39,nan,Monterey
247,Laguna Seca Golf Ranch,4.2,213,nan,Monterey
248,Carmel Monterey Travel,4.7,3,nan,Monterey
249,The Original Monterey Walking Tours - guided tours of historic Monterey and Cannery Row,4.8,9,Take-off point for guided local tours,Monterey
250,Pebble Beach Golf Links,4.8,3178,"Iconic, 18-hole public golf course",Monterey
251,Steinbeck Plaza,4.5,1755,nan,Monterey
252,A Taste of Monterey - Wine Market & Bistro,4.6,409,Mediterranean dining with ocean views,Monterey
253,Old Custom House,0.0,0,nan,Monterey
254,Monterey Bay Coastal Trail,0.0,0,18-mi. paved pathway with scenic views,Monterey
255,Old Monterey Jail,4.8,17,Museum and history,Monterey
256,Sea Car Tours,4.0,95,nan,Monterey
257,Del Monte Golf Course,4.5,248,18-hole golf course established in 1897,Monterey
258,Old Fisherman�s Wharf,0.0,0,nan,Monterey
259,Pacific Grove Golf Links,4.6,566,Scenic public golf course & clubhouse,Monterey
260,El Estero Park,4.6,1057,Park and skateboarding,Monterey
261,San Carlos Beach Park,4.6,1350,Tranquil spot with bayside vistas,Monterey
262,Asilomar Hotel and Conference Grounds,4.2,2045,nan,Monterey
263,Segway Tours Monterey,5.0,28,nan,Monterey
264,Coast Guard Pier,4.5,546,"Sea lions, fishing, and beach",Monterey
265,The Inn at 1252 Monterey,3.9,622,nan,Monterey
266,"Laguna Grande Regional Park, Monterey side",4.4,1384,Waterfront area with picnic tables,Monterey
267,Monarch Butterfly Grove,4.6,3748,Seasonal habitat of many butterflies,Monterey
268,Mission Ranch Restaurant,4.6,1735,nan,Monterey
269,Hotel Pacific,3.9,1286,nan,Monterey
270,Best Western The Inn & Suites Pacific Grove,4.3,473,nan,Monterey
271,Pinnacles National Park,4.7,3423,Park featuring caves & rock formations,Monterey
272,Monterey County Convention & Visitors Bureau,5.0,2,nan,Monterey
273,Cannery Row,4.6,607,nan,Monterey
274,Monterey History & Art at Stanton Center,4.4,476,Art exhibits & local maritime history,Monterey
275,Pacific Grove Art Center,4.4,39,Art and art museum,Monterey
276,The Monterey Hotel,3.8,667,nan,Monterey
277,Carmel River State Beach,4.8,2477,Scenic bird sanctuary with scuba diving,Monterey
278,National Steinbeck Center,4.6,499,Interactive exhibits & museum gift shop,Monterey
279,The Links at Spanish Bay,4.8,660,Iconic golf course with sea views,Monterey
280,Pacific Grove Museum of Natural History,4.6,327,Free exhibitions on regional wildlife,Monterey
281,Monterey Pines Golf Club,4.4,175,Golf,Monterey
282,"Motel 6 Monterey, CA",3.8,1212,nan,Monterey
283,Carmel Food Tours,4.9,139,nan,Monterey
284,Lover's Point Beach,4.7,1215,Rocky point for shoreline recreation,Monterey
285,Berwick Park,4.7,1089,"Ocean views, picnic spots & wildlife",Monterey
286,Sea Breeze Inn and Cottages,4.1,355,nan,Monterey
287,WeatherTech Raceway Laguna Seca,4.8,2957,Auto & motorcycle racing,Monterey
288,Cannery Row Monument,4.7,35,nan,Monterey
289,Pierce Ranch Vineyards,4.8,67,"Wine tasting, vineyard, wine, and winery",Monterey
290,Via Paraiso Park,4.6,127,Park,Monterey
291,San Carlos Beach,4.6,64,Beach and scuba diving,Monterey
292,Monarch Butterfly Sanctuary,4.4,1330,Nature reserve for seasonal butterflies,Monterey
293,Lower Presidio Historic Park,4.7,67,Park,Monterey
294,Puma Road at Portola Plaza - Wine Tasting Room,4.6,49,Wine,Monterey
295,The Open Sea,5.0,1,nan,Monterey
296,Cooper-Molera Adobe,4.4,10,History,Monterey
297,Pacific Biological Laboratories (Doc�s Lab),4.8,5,nan,Monterey
298,Carmel Mission Basilica Museum,4.6,2598,Historic 18th-century church & museums,Carmel
299,Point Lobos State Natural Reserve,4.8,7839,"Coastal hikes, diving & a whaling museum",Carmel
300,Monterey Bay Aquarium,4.7,32756,Sprawling marine life attraction,Carmel
301,Carmel River State Beach,4.8,2477,Scenic bird sanctuary with scuba diving,Carmel
302,Mission Ranch Restaurant,4.6,1735,nan,Carmel
303,Pebble Beach Golf Links,4.8,3178,"Iconic, 18-hole public golf course",Carmel
304,Carmel Plaza,4.5,1551,nan,Carmel
305,Garrapata State Park,4.8,1304,Ocean views & 2 miles of beachfront,Carmel
306,Carmel Beach,4.8,7663,Sweeping white sandy beach & surf spot,Carmel
307,Caraccioli Cellars,4.5,49,"Warm, classy tasting room with snacks",Carmel
308,Carmel Beach,4.8,596,Laid-back sweeping white sandy beach,Carmel
309,Old Fisherman's Wharf,4.5,13834,Quaint landmark with dining & shopping,Carmel
310,17 Mile Drive,0.0,0,Scenic route along the Pacific coastline,Carmel
311,Lone Cypress,4.6,5246,Lookout known for an iconic cypress tree,Carmel
312,Ocean Avenue,0.0,0,"Indie boutiques, art galleries & dining",Carmel
313,Garland Ranch Regional Park,4.8,670,Nature area with many hiking trails,Carmel
314,Cottage of Sweets,4.5,255,nan,Carmel
315,Dametra Cafe,4.6,2816,Lively option with a Mediterranean menu,Carmel
316,Lovers Point Park,4.8,6495,Small beachside recreation spot,Carmel
317,Carmel Art Association,4.8,37,"Art museum, painting, and art",Carmel
318,Carmel Beach,4.9,25,nan,Carmel
319,Palo Corona Regional Park,4.7,107,Park and hiking,Carmel
320,Pebble Beach,0.0,0,"Golf, beach, country club, and wine",Carmel
321,Sunset Center,4.7,243,Intimate venue for live entertainment,Carmel
322,Devendorf Park,4.3,18,Park,Carmel
323,Mission Trail Park,4.6,246,Nature preserve with 5 miles of trails,Carmel
324,Clinton Walker House - Frank Lloyd Wright,4.6,538,Frank lloyd wright and architecture,Carmel
325,Big Sur,0.0,0,"Rugged coast, parks & Pfeiffer beach",Carmel
326,China Cove,4.8,344,Beach,Carmel
327,Galante Vineyards Tasting Room,4.6,80,"Local wines amid warm, Western decor",Carmel
328,Scheid Vineyards Tasting Room,4.6,74,"Vineyard, wine tasting, winery, and wine",Carmel
329,Center For Photographic Art,5.0,25,Fine-art photography and art,Carmel
330,Carmelite Monastery,4.8,90,Monastery,Carmel
331,Weston Gallery Inc,4.6,30,Revered spot for fine photography,Carmel
332,California 1,0.0,0,"Beach, cliff, lighthouse, surfing, and cycling",Carmel
333,Folktale Winery & Vineyards,4.6,332,"Winery, vineyard, sparkling wine, wine, and wine tasting",Carmel
334,De Tierra Vineyards,4.8,45,"Wine tasting, vineyard, pinot noir, merlot, and wine",Carmel
335,Wrath Wines- Carmel Tasting Room,4.7,29,"Wine tasting, vineyard, pinot noir, wine, and winery",Carmel
336,New Masters Gallery,4.7,13,"Painting, art, and landscape painting",Carmel
337,Asilomar State Beach,4.8,2703,Scenic beach area with rocky coves,Carmel
338,Carmel Walks,4.9,45,nan,Carmel
339,Blair Estate Tasting Room,4.8,25,Wine and wine tasting,Carmel
340,"PacRep at the Forest Theater, Carmel",4.8,41,Open-air venue in a woodland setting,Carmel
341,Jones & Terwilliger Galleries,4.9,10,"Art gallery, landscape painting, painting, fine-art photography, and art",Carmel
342,Winfield Gallery,5.0,9,Still life and art,Carmel
343,Gallery-by-the-Sea Carmel,5.0,10,"Art gallery, art, and art museum",Carmel
344,Holman Ranch,4.6,61,"Vineyard, pinot noir, winery, wine tasting, and engagement",Carmel
345,Gallery Sur,4.7,6,Art,Carmel
346,Zantman Art Galleries,5.0,35,Art and painting,Carmel
347,Trotter Galleries,5.0,1,Art,Carmel
348,Church of the Wayfarer,4.6,39,Church and history,Carmel
349,Nancy Dodds Gallery,5.0,10,Art and art museum,Carmel
350,Carl Cherry Center for the Arts,4.7,23,"Art, theatre, and architecture",Carmel
351,Robinson Jeffers Tor House Foundation,4.7,73,nan,Carmel
352,Carmel Fine Art Gallery,5.0,2,Art,Carmel
353,Photography West Gallery,4.4,9,Fine-art photography and art,Carmel
354,Carmel Heritage Society,4.8,10,Preserved historic house exhibits,Carmel
355,Bernardus Winery,4.1,49,"Winery, pinot noir, vineyard, chardonnay, and wine",Carmel
356,Gallery Elite,5.0,3,Art,Carmel
357,Scenic Road,0.0,0,Waterfront driving route & walkway,Carmel
358,Howard Portnoy Gallery,5.0,3,Art,Carmel
359,Monastery Beach,4.6,770,Beach,Carmel
360,Boekenoogen Winery Tasting,4.5,66,"Winery, pinot noir, vineyard, chardonnay, and wine",Carmel
361,Delia Bradford Fine Arts Std,5.0,8,Art,Carmel
362,Picadilly Park,4.1,17,Park,Carmel
363,Jacks Peak Park,4.7,436,Pine forest hikes & vista views,Carmel
364,Del Monte Fine Art,0.0,0,Art,Carmel
365,Bird Rock Vista Point,4.6,2876,nan,Carmel
366,Monterey State Beach,4.6,1152,Scenic beach area on Monterey Bay,Carmel
367,The Links at Spanish Bay,4.8,660,Iconic golf course with sea views,Carmel
368,Butterfly House,4.7,14,nan,Carmel
369,Moto Talbott Motorcycle Museum,4.9,118,Museum,Carmel
370,Georis Winery,4.6,44,"Winery, merlot, chardonnay, cabernet sauvignon, and wine tasting",Carmel
371,Ford Meadow,4.5,13,nan,Carmel
372,Del Monte Golf Course,4.5,248,18-hole golf course established in 1897,Carmel
373,Carmel Meadows trail,4.7,40,Beach,Carmel
374,Massa Estate Organic Vineyards,4.6,35,"Vineyard, cabernet sauvignon, wine, winery, and merlot",Carmel
375,Cowgirl Winery,4.3,50,"Winery, wine, and wine tasting",Carmel
376,Parsonage Winery Tasting Room,4.9,33,nan,Carmel
377,Huckleberry Hill,4.4,275,nan,Carmel
378,Big Sur Vineyards,4.9,7,nan,Carmel
379,17-Mile Drive,4.6,1018,Picturesque toll road along the coast,Carmel
380,Carmel Meadows Trailhead,4.6,33,nan,Carmel
381,Joullian Vineyards,5.0,4,nan,Carmel
382,"Laguna Grande Regional Park, Monterey side",4.4,1384,Waterfront area with picnic tables,Carmel
383,Stillwater Cove,5.0,7,"Beach, scuba diving, fishing, and golf",Carmel
384,Arrowhead Point,5.0,1,Golf,Carmel
385,Hatton Canyon,0.0,0,Park and canyon,Carmel
