destination,rating,rank,description,tourist_attractions_count,best_time_to_go
 Lenox,3.5,53,"Located in the gorgeous, green Berkshire County, Lenox is a beautiful small town. It is a famous retreat during the summers usually for hiking, orchestra concerts, visiting mansions previously occupied by famous people. It is also known for housing Shakespeare & Company, Tanglewood and others. T...",53,Best time not available
 Providence,3.2,54,"Providence, the capital city of Rhode Island and also one of the most populous cities in the US, is an apt representation of “small town meets big city”. This city has everything ranging from exciting nightlife to family-friendly places to visit. It is also noted for textiles, jewellery, silverware,...",54,Best time not available
 Provincetown,3.5,55,"Located at the tip of Cape Cod in Barnstable County, Provincetown is a small town famous for its beaches, harbour towns, artists, tourist industry and is a coastal resort destination during the summers. Provincetown is not only one of the oldest but also one of the highly developed towns in the...",55,Best time not available
 Portsmouth,2.2,56,"Portsmouth is a seaport town known for its history and urban settlements It is additionally acknowledged for its history, scenic views, tax-free shopping, enjoyment parks and beaches. The city also has several 17th and 18th-century houses inside the Strawbery Banke Museum where the lo...",56,Best time not available
 Berkshires,3.1,57,"Berkshires is a famous highland region, mostly known for the Green Mountains that extend into Massachusetts. It’s a year-round vacation destination because of the famous hiking trails, waterfalls (Berkshires houses on the oldest and tallest waterfalls in Massachusetts), museums, orchestra concerts a...",57,Best time not available
 Kennebunkport,2.0,58,"Named after its shipbuilding and fishing business, Kennebunkport is a picturesque town with beaches, ports and cottages everywhere. Home to not more than 4000 people, the town is located in Maine, Massachusetts. The urbanised town has all the facilities at the same time retaining its age-old heritag...",58,Best time not available
 McKinney,1.2,59,McKinney in Texas state is ranked amidst the best places to live in the United States. It is the second-largest city in Collin County. The city has a lot of historical significance and is one of the largest historic districts in the state. The city was originally known for serving as the principal c...,59,Best time not available
 Ennis,3.5,60,"Ennis is also known as the Official Bluebonnet City of Texas, the city provides a 40 - mile drive around the bluebonnet of the Official Bluebonnet Trail of Texas, Authentic Czech food and music, and shopping in this historic district. The largest attraction in this city is the Bardwell lake tha...",60,Best time not available
 Waco,3.4,61,"Waco is situated between Dallas and Austin, along the Brazos River, and is the second-largest city in McLennan County and Central Texas. The city is the ultimate destination for history lovers. It features the oldest operating University in the Texas state and the oldest suspension bridge, and ...",61,Best time not available
 Galveston,1.5,62,"Galveston is an island city located South of Texas. It is a major port city and also a commercial centre. It has often been referred to as the Wall-Street of the South. Holding one of the United States' largest ports, Galveston is also home to the American National Insurance Company. Known for its c...",62,Best time not available
 Santa Fe,2.0,63,"The capital of New Mexico, Santa Fe, lies on a river tributary, heralded by the snowy peaks of the Sangre de Cristo Mountains. This enigmatic and fun state has garnered a reputation as a definitive celebration state, with its unique character that absorbs Spanish, Hispanic and Native American influe...",63,Best time not available
 Raleigh,2.0,64,"Frequently featured on top ten lists due to its high quality of life and a subtle juxtaposition of the urban and natural, Raleigh's crepe myrtle lined streets make it an attractive destination in the state of North Carolina. The city is especially notable for its historic buildings, numerous museums...",64,Best time not available
 Columbus,1.5,65,"Columbus is the capital city of the state of Ohio, known for its quintessential take on the American experience. The city, one of the most populous in the United States is known for its large universities, football culture and notable zoos. Columbus features several things to do and its metropolitan...",65,Best time not available
 Pierre,2.5,66,The town of Pierre is located between the Cheyenne River Reservation to the northwest and the Crow Creek Reservation in the southeast. It is a landlocked Midwestern state with plenty of historical landmarks and places to visit with family.,66,Best time not available
 Phoenix,3.0,67,"The capital of Arizona, Phoenix boasts sunny weather all year round and was thus entitled as Valley of the Sun. The idiosyncratic beauty of Phoenix’s imposing metropolis is an addition to the already stunning desert vistas and mountain landscapes surrounding it. The seamlessly blended urban flair wi...",67,Best time not available
 Tallahassee,3.5,68,"Tallahassee, the state capital and College Town of Florida, is known for its rich cultural heritage and history. The place is a blend of cosmopolitan panache and southern vibe giving the tourists a unique experience. Tallahassee is home to Florida State University and Florida A and M and a hub for a...",68,Best time not available
 Atlanta,3.0,69,"The city of Atlanta has many names, but none substantiate the grandeur of the arts, music, and cultural history the city is ingrained with. The state capital of Georgia has been home to many world-renowned pioneers from music and arts, business and politics and their footprints left the city with pr...",69,Best time not available
 Springfield,2.5,70,Springfield City is steeped with political history and is the corridor of power in Illinois administration. The city cradles the principles and ideologies of President Abraham Lincoln’s saga dotted across the town. The must-see sites in and around the city include some of the best heritage sites in ...,70,Best time not available
 Saint Paul,3.5,71,"The city of Saint Paul is unique in the sense that it has an old frontier town vibe intertwined in the urban foliage. Being one of the twin cities, it is a popular tourist destination during most times of the year. The Xcel Energy Centre continues to host events all round the year that attract natio...",71,Best time not available
 Jackson,2.5,72,"The city with soul, Jackson harbours a rich natural and a diverse cultural history that is unique to the place. The city is dotted with fun-filled outdoor activities that are loved by tourists from all local and foreign places. Jackson celebrates its art and culture and boasts its history in the sev...",72,Best time not available
 Jefferson City,2.5,73,"Jefferson City, Missouri is termed as one of the most beautiful small towns in America. The city’s landscape is replete with several parks and nature trails, golf courses, and camping sites that appeal to both families and backpackers. Perhaps the most popular attractions in the city are its histori...",73,Best time not available
 Trenton,2.5,74,"Trenton, despite being one the first few cities to achieve independence, still retains some of the Colonial charms that make the place so unique in its attractions. The city is dotted with several historic sites that chronicle the tales from the war times. Trenton is most popular among the history b...",74,Best time not available
 Columbia,2.5,75,"Among the many interesting places in South Carolina is the city of Columbia. The city has some of the most amazing beaches, hill stations, valleys and tropical climate. Every year, hundreds of tourists throng the city for various adventure trips in the hills.",75,Best time not available
 Salt Lake City,2.5,76,"Salt Lake City, a scaled-down version of great Utah, is as exciting as the rest of the State. Take a guided city tour on a bike or escape to the pristine lakeside for camping and fishing, take a hike in the Bryce Canyon or abscond to the Grandeur Peak for a splendor view of the city and the mou...",76,Best time not available
 Richmond,3.5,77,"Richmond city is a mix of art and culture embedded in the network of rivers and hills. While the James river is the heart and soul of the city, hiking and climbing adventures of Forest Hill Park are not to be missed. The historic capital of Virginia is no doubt dotted with a plethora of antique site...",77,Best time not available
 Carson City,2.5,78,"The capital of Nevada, Carson City is the heart and soul of the state. The city reverberates with the history of the four tribes that nestled in the area for about 6000 years. The Carson City Historic District preserves all these and more from the Victorian era. All along the Kit Carson Trail are mo...",78,Best time not available
 Bismarck,3.0,79,"Bismarck is the most underrated city in the Northern region of the United States because it offers less sporting avenues and adventure but more of history. Still, it is a beautiful destination. Its unassuming place in the travel list, does injustice to the vast amount of experiences it provides.",79,Best time not available
 Des Moines,4.0,80,"With a well-rooted culture, Des Moines is a paradise for people looking to indulge in the local arts of the state of Iowa. Jam-packed with botanical gardens and sculpture parks as well, a small trip doesn’t do justice to this little yet proud city.",80,Best time not available
 Indianapolis,3.0,81,"Likewise known to many as Indy, Indianapolis is the capital city of the Hoosiers. A perfect blend of natural and urban retreats, its cityscape is shaped by glorious museums, zooming race cars, lush gardens, scenic trails, and tranquil streams. The hallmark of this city, however, is Indy 500. Held in...",81,Best time not available
 Montgomery,4.0,82,Montgomery is a city bursting with character. It is a historically important city as it was the centre of the American Civil Rights movement. Its streets are filled with colonial architecture and a pleasant smell of jasmine tingles your senses as you stroll around. The city has an old town spark to ...,82,Best time not available
 Brookline,3.9,83,"Brookline is a city in Norfolk County, Massachusetts that boasts a rich heritage. Being the birthplace of John F. Kennedy and hence draws many visitors year-round and the site is also listed in the National Register of Historic Places. A town that is best explored on foot, it has various libraries, ...",83,Best time not available
 Cambridge,0.0,84,"Named after the renowned University of Cambridge in England, Cambridge is a part of Boston and is situated in Middlesex County, Massachusetts. The city is known to house the famous universities of the United States, Harvard University and the Massachusetts Institute of Technology (MIT), making it th...",84,Best time not available
 Chelsea,2.2,85,"Chelsea is one of the densely populated cities in Massachusetts, US. It lies on the Mystic River and is mainly an industrial city. The high number of working-class living here and the diverse population has made it an architectural wonder. Due to its vast industrial history, landmarks like the polic...",85,Best time not available
 Concord,3.5,86,"Concord is a town of historical significance located in Middlesex County, Massachusetts. A must-visit place for history enthusiasts, the Battle of Lexington and Concord took place here. The battle laid the base for the American Revolution, and the site is currently located at the Minute Man National...",86,Best time not available
 Dedham,2.9,87,"Dedham is a town that radiates an old-world charm, mainly as European colonists established it in 1635. Located in the Norfolk County of Massachusetts, it has a dense suburban feel and offers a cozy vibe with the cafés, restaurants, and parks lining the town. One can visit the Dedham Historical Soci...",87,Best time not available
 Everett,3.9,88,"Everett is located in Middlesex County, Massachusetts, and was the last one to have a bicameral legislature in the US. The city has a rich modern culture, and the famous casino Encore leads that scene. The city has witnessed some favorite movies being filmed, including Gone Baby Gone – a 2007 film s...",88,Best time not available
 Gloucester,1.1,89,Gloucester is located on the Cape of Ann and boasts of a rich 400-year old history. This city is famous for the fishing industry and also serves as the nation's oldest seaport. The seaside of Gloucester makes a perfect place for family outings and relishing the fresh seafood. It is not only the beac...,89,Best time not available
 Hudson,4.0,90,Hudson is just a few thirteen minutes away or around three miles drive away from the city centre of New York. It is a beautiful yet calm and serene river-port town from the 18th century making it a perfect getaway spot for all kinds of travellers. The main point of attraction in Hudson is Warre...,90,Best time not available
 Groton,2.2,91,"Groton is a quaint town with an exciting history and is located in Middlesex County, Massachusetts. The city provides a rural feel and has various trails and hikes spread across its length. There are over 100 trails to explore for hunting, camping, biking, or hiking. Around 30 percent of the town is...",91,Best time not available
 Beacon,3.5,92,"Beacon is located in the Hudson Valley and and 100 miles or two hours’ drive from the New York City from New York City. It has always been a haven for art and history lovers with artsy pubs and restaurants all around the town. The most prominent ones are Dogwood on Main Street, which has fresh veget...",92,Best time not available
 Cape May,3.5,93,"Cape May, New Jersey is a easy 160 miles away which is fabulous three hour drive from New York City hosting backpacking travellers and adventure seekers as frequent visitors. It has an amazing Victorian-era culture, with museums, state homes and art galleries. Victorian manors offer great restaurant...",93,Best time not available
 Hamptons,4.5,94,"Hamptons is a two hour drive totaling to 95 miles distance from New York towards the East Coast and has many beach towns spread across the Long Island. It is a great spot for night-outs, drinking and shopping. There is also an exhibition centre and an aquarium to showcase the flora and fauna of the ...",94,Best time not available
 Montauk,3.0,95,"Montauk is located to the East of Hamptons, overlooking the Atlantic Ocean. It is approximately 120 miles away from the city equivalent to a three hour drive. Montauk offers lots of activities throughout the weekend, like fishing, surfing, water sports or pure relaxation for families as well as indi...",95,Best time not available
 Newport,3.5,96,"Newport is 180 miles far or close to three hour drive from New York City, located on Rhode Island. It is a beautiful sea-facing village rich in natural beauty and historical summer stone mansions there are absolute beauties built by some of the wealthiest Americans.",96,Best time not available
 Buffalo,3.0,97,"Buffalo is the second-largest city located in New York State and city has a fantastic culture of art, history and beautiful landscaped gardens, which are a favourite among the locals and tourists alike. The best and most visited spot is around Buffalo is Niagara Falls. There are plenty of family-fri...",97,Best time not available
 Cape Cod,3.9,98,"Cape Cod is  200 miles away or about 4 and a half hours away  to the south of New York City and one of the most popular weekend spots around the city. Weekends are a festival in Cape Cod, with bands, music and dances along the streets here. Apart from them, there are cruises to the ocean, ...",98,Best time not available
 Bedford,3.0,99,"About an hour away or 46 miles from the buzz of NYC is the small town of Bedford. The town is home to just under 19,000 residents and is home to two national landmarks: the historic home of Bill and Lois Wilson, the founders of Alcoholics Anonymous and the John Jay Homestead, the original home of on...",99,Best time not available
 Norwalk,3.0,100,"78 miles away from NYC is the city of Norwalk in Connecticut- a small region is home to some beautiful waterfronts and museums, making it ideal for a weekend getaway. Norwalk hosts two major festivals: the Greek Orthodox Festival in August that features Greek culture and the Round Hill Highland Scot...",100,Best time not available
