destination,rating,rank,description,tourist_attractions_count,best_time_to_go
11. Chicago,4.7/5,11 out of 100  Places to visit in United States of America,"Third largest city in the United States, Chicago is a metropolitan situated in the state Illinois. Beautified with the outlining freshwater Lake Michigan, the Windy City is known for its diverse and lively neighbourhoods.",225  Tourist attractions,"April to May, September to October"
12. Honolulu,5.0/5,12 out of 100  Places to visit in United States of America,"Hawaii's capital, Honolulu, is the most vibrant city of Oahu, with most of the population of the state living here. The city is a hub of historic landmarks, popular shopping centres, arts and cultures scenes. It's also a major hub for international business and military defence. Famou...",58  Tourist attractions,"April to June, September to November"
13. Boston,4.5/5,13 out of 100  Places to visit in United States of America,"Boston is the largest city in Massachusetts, the testifier of the American Revolution and an international hub for education. Boston takes pride in its rich history and is counted as one of the oldest cities in America. Popularly known as ""Beantown"", the name that's originated from Boston baked...",216  Tourist attractions,"April to May, October to November"
14. Dallas,4.0/5,14 out of 100  Places to visit in United States of America,"Thriving in the arts and culture department, Dallas is the new hipster hub with its many arts districts and museums. The city has a bitter brush-in with history by being the city where John F. Kennedy was assassinated in 1963 and the site is memorialized at the Dealey Plaza with the exact ...",255  Tourist attractions,February to March and September to October
15. Orlando,5.0/5,15 out of 100  Places to visit in United States of America,"Orlando welcomes more than 52 million visitors every year and that's enough to define its popularity all over the world. The star of Orlando is the famous Walt Disney World, which is situated 18 miles south in Lake Buena Vista. The County seat of Orange County, Orlando is known as 'the Theme Pa...",116  Tourist attractions,January to April
16. Baltimore,4.1/5,16 out of 100  Places to visit in United States of America,"Maryland's Largest City Baltimore is the 30th most populous city in the US which is also the largest independent city. Earlier crowned as a city with high crime rates, Baltimore has now emerged as a city rich in history and culture. Lying just 40 miles away from Washington, there's a lot t...",67  Tourist attractions,June to August
17. Maui,4.2/5,17 out of 100  Places to visit in United States of America,"Polynesian heritage mixed with the modern American lifestyle is what makes Maui a beautiful Hawaiian island.  Maui, the second-largest of the Hawaiian islands is a popular tourist destination, mostly among North Americans. Its called the 'Valley Isle' as it sits between the east and the west vo...",62  Tourist attractions,Throughout the year
18. Charleston,3.9/5,18 out of 100  Places to visit in United States of America,"Cobblestone streets, horse-drawn carriages, and centuries-old mansions- Charleston owns all the props for a classic vintage picture. This port city's beauty shuffles different shades throughout the year, making Charleston a destination with a unique mesmerizing allure every time you visit here.",80  Tourist attractions,"March to May, September to November"
19. US Virgin Islands,3.8/5,19 out of 100  Places to visit in United States of America,"The US Virgin Islands or USVI, are a group of islands in the Caribbean. The islands are geographically part of the Virgin Islands archipelago and are located in the Leeward Islands of the Lesser Antilles. The USVI consist of the main islands of Saint Croix, Saint John, and Saint Thomas, and many oth...",9  Tourist attractions,"April to June, December to March"
20. Newark,3.0/5,20 out of 100  Places to visit in United States of America,"Newark is a major city in the state of New Jersey, and one of the oldest cities of colonial times. It is a cultural wonderland, home to the New Jersey Performing Arts Centre that hosts some of the nation's greatest theater pieces. You can also find an extensive range of stunning American art, as wel...",32  Tourist attractions,March to July
21. Houston,4.0/5,21 out of 100  Places to visit in United States of America,"Houston is the fourth largest city of the USA, a grand, cosmopolitan city in the state of Texas. It is famous worldwide for being home to the Space Center Houston, the visitor center for the Johnson Space Centre, one of NASA's astronaut training and flight control complexes. The Houston Zoo, with ov...",210  Tourist attractions,November to February
22. Fort Lauderdale,4.5/5,22 out of 100  Places to visit in United States of America,"Synonymous with American Spring Break, Fort Lauderdale is the south-eastern coastal city of Florida, lined with beaches, clubs, bars, restaurants and all kinds of recreational facilities one can dream of. Apart from one of the most coveted nightlifes in the world, the city is also home to an intrica...",22 out of 100  Places to visit in United States of America,December to May
23. Dallas-Fort Worth,3.3/5,23 out of 100  Places to visit in United States of America,"The Dallas-Fort Worth Metroplex is a grand encompassment of 13 counties in North Texas, serving as the cultural and economic hub of the area, as well as the largest metropolitan area of the mainland of the United States. An international powerhouse, the area is steeped in American history, most famo...",23 out of 100  Places to visit in United States of America,March to May and September to October
24. Albany,2.5/5,24 out of 100  Places to visit in United States of America,"The capital city of New York state, Albany boasts of a reputation as the cultural and economic core. Its landscape is decidedly urban and spotted by remnants of its history as a Dutch and British settlement. Albany’s land is tempered with the waters of the famous Hudson River, making it a long opera...",24 out of 100  Places to visit in United States of America,Not known
25. Lansing,2.5/5,25 out of 100  Places to visit in United States of America,"The capital city of Michigan, Lansing exists on a cross-section of two rivers- the Grand and the Red Cedar River in the Lower Peninsula of the state. A historian’s visit to Michigan is incomplete without a stop at the capital city. Lansing boasts a reputation of being politically vital, with several...",25 out of 100  Places to visit in United States of America,Not known
26. Harrisburg,2.5/5,26 out of 100  Places to visit in United States of America,"Much like the state it belongs to, Harrisburg is a destination firmly rooted in history, featuring several sites and landmarks holding cultural significance to Americans. Harrisburg is usually a couple days' stop in any tourist visit to Pennsylvania state with a timeless feel enveloping its old buil...",26 out of 100  Places to visit in United States of America,Not known
27. Philadelphia,3.0/5,27 out of 100  Places to visit in United States of America,"The city of Philadelphia is a national treasure, its momentousness as a historic city is central to the United States. Philadelphia is home to many firsts in the country, with every advancement in the region being traced back to this historic city. Philadelphia welcomes the first library, medical sc...",27 out of 100  Places to visit in United States of America,Not known
28. Frankfort,1.5/5,28 out of 100  Places to visit in United States of America,"The capital of Kentucky, Frankfort, lies on the banks of the Kentucky River and boasts some of the most beautiful buildings in the country. It is the birthplace of the famous Kentucky Bourbon Ball, a smooth and delicious candy and is home to important museums, cemeteries and mansions.",28 out of 100  Places to visit in United States of America,Not known
29. Baton Rouge,1.5/5,29 out of 100  Places to visit in United States of America,"Named after two Native American tribes, Baton Rouge is the capital city of lively Louisiana. The city certainly possesses the classical southern charm of its home state but is also home to several historic attractions and enjoyable activities. The state symbol is definitively the USS Kidd, an Americ...",29 out of 100  Places to visit in United States of America,Not known
30. Augusta,2.5/5,30 out of 100  Places to visit in United States of America,"The capital city of Maine is one of the least populated city capitals in the country but not without its classical Maine charm, heavy forestry and location that is an hour away from Portland. August is defined by the Kennebec River with the water body cutting through the city.",30 out of 100  Places to visit in United States of America,Not known
31. Annapolis,1.5/5,31 out of 100  Places to visit in United States of America,"Overlooking the very heartbeat of the state of Maryland- the Chesapeake Bay- the city of Annapolis certainly stands as its definitive guardian. This city is known for its exclusive views of the charming bay and historic buildings that lend it its iconic status. As the state capital, Annapolis is the...",31 out of 100  Places to visit in United States of America,Not known
32. Denver,4.0/5,32 out of 100  Places to visit in United States of America,"The city which claims to be the birthplace of the legendary cheeseburger, Denver is a rapidly growing destination with 300 days of sunshine in a year. Sandwiched between the Rocky Mountains and the Great Plains, the city is home to breathtaking views. Getting around Denver is a hassle-free expe...",32 out of 100  Places to visit in United States of America,Not known
33. Hartford,1.5/5,33 out of 100  Places to visit in United States of America,Hartford is a city that often sets itself apart from its other Eastern Coast counterparts. Connecticut's trademark theatricals and appeal are saturated in this city that is often seen as a book lover's haven for its two famous attractions - the Mark Twain and Harriet Beecher Stowe houses. A truly hi...,33 out of 100  Places to visit in United States of America,Not known
34. Boise,2.0/5,34 out of 100  Places to visit in United States of America,"The city of Boise is the capital of the enigmatic state of Idaho and markets itself as a natural haven and welcoming urban retreat. Home to the only human rights memorial in the United States- the Anne Frank Memorial- the city of Boise is known for its sparse highrise buildings, stunning fall foliag...",34 out of 100  Places to visit in United States of America,Not known
35. Lincoln,1.5/5,35 out of 100  Places to visit in United States of America,"The city of Lincoln lies in the heart of Nebraska and is defined strongly for its exuberant urban culture and outdoor recreational areas. This city is known for its Kite Festival, hiking trails lined with wildflowers and clam chowder.  Tourists visit Lincoln as a retreat of all sorts,...",35 out of 100  Places to visit in United States of America,Not known
36. Helena,3.4/5,36 out of 100  Places to visit in United States of America,"Helena is known as the “Queen City of the Rockies” and that moniker remains with the city. The capital still maintains the same charm as it did during the Gold Rush of the 1800s. Helena’s history and culture ring through every street. Visit Reeder’s Alley, a brick complex built for miners in the 180...",36 out of 100  Places to visit in United States of America,Not known
37. Santa Cruz,4.2/5,37 out of 100  Places to visit in United States of America,"Located just 70 miles south of San Francisco and filled with sandy beaches and redwood mountains, Santa Cruz is a great laidback destination. The city is a counterculture center and known for its liberal beliefs. Santa Cruz is home to all kinds of people from the University of California students to...",37 out of 100  Places to visit in United States of America,Not known
38. Silicon Valley,4.2/5,38 out of 100  Places to visit in United States of America,"Silicon Valley refers to the area between the city of San Mateo and San Jose and is known for to be home to some of the largest companies in the world. Stanford University, where many startups like Yahoo and Google were formed, is located at Silicon Valley. Visit the Google campus, home to...",38 out of 100  Places to visit in United States of America,Not known
39. San Jose,4.2/5,39 out of 100  Places to visit in United States of America,"San Jose is the cultural and political heart of the Silicon Valley and the oldest Spanish civilian settlement in California. The bustling city is a mingling of the area’s modern tech heritage along with the state’s colonial history. If you want to hit the beaches while visiting the city, the city’s ...",9  Tourist attractions,Not known
40. Sacramento,2.5/5,40 out of 100  Places to visit in United States of America,"Sacramento is the capital city of California and situated between two huge rivers. Established in 1849, the oldest incorporated city in the state is an oasis of leafy and shady trees. Nature-lovers should check out the Sacramento National Wildlife Sanctuary. Old Sacramento is a huge hit for the...",40 out of 100  Places to visit in United States of America,Not known
41. Big Sur,4.3/5,41 out of 100  Places to visit in United States of America,"Big Sur is a mountainous area on the Central California Coast. Located in the Santa Lucia Mountains, the Big Sur is known for its drastic views. Named by Spanish settlers, the area was first known as the “Big Country of the South” which was later shortened to just Big Sur or the Big South. The drama...",41 out of 100  Places to visit in United States of America,Not known
42. Monterey,3.8/5,42 out of 100  Places to visit in United States of America,"Monterey is a coastal city located in the midst of rocky Central California. Originally, it was the capital city of California, and that’s why it’s home to the older buildings in the state. It is home to California’s first theater, public building, public library, public school, printing press, and ...",42 out of 100  Places to visit in United States of America,Not known
43. Napa Valley,4.4/5,43 out of 100  Places to visit in United States of America,"Napa Valley is the wine capital of the country, home to the legendary Chardonnays and Cabernet Sauvignon wines. The Valley is located only a 90-minute drive from San Francisco. Each of the picturesque towns in the valley has something different and unique to offer to the visitors.",43 out of 100  Places to visit in United States of America,Not known
44. Sonoma,3.9/5,44 out of 100  Places to visit in United States of America,"Just 30 miles north of San Francisco, Sonoma County has a bit of everything for everyone. There are vineyard-filled valleys, extensive redwood forests, and a long coastline with many beaches and sea villages. Its Mediterranean climate allows for nearly all vegetables and fruits to be grown there, es...",44 out of 100  Places to visit in United States of America,Not known
45. Cheyenne,3.4/5,45 out of 100  Places to visit in United States of America,"The capital of the Cowboy State of Wyoming, Cheyenne is a heaven for history buffs, outdoor enthusiasts and food connoisseurs. There are a lot of events that take place all around the year in this city. This place, unlike many others in the state, has a wide range of things one can shop for. It is a...",45 out of 100  Places to visit in United States of America,Not known
46. Montpelier,3.4/5,46 out of 100  Places to visit in United States of America,"The least populous state capital as well as the smallest state in all of the USA, Montpelier is located at such a place that it is easy to access most of the famous destinations in the state. This suburb is full of parks and restaurants one would surely love. It gets very beautiful in autumn and thi...",46 out of 100  Places to visit in United States of America,Not known
47. Juneau,4.0/5,47 out of 100  Places to visit in United States of America,"A popular cruise destination in Alaska, Juneau is in no way connected to other parts of the state other than through waterways. This place has wildlife, art & culture and hiking trails in abundance. The state has a rich history of mining and there are many museums and trails pertaining to the sa...",47 out of 100  Places to visit in United States of America,Not known
48. Little Rock,3.5/5,48 out of 100  Places to visit in United States of America,"Best known for the role it played in the American Civil Rights Movement, Little Rock is the capital of the very scenic state of Arkansas. It is located in the very heart of the state and is accessible from every corner of the state. The city is very well known for the bonhomie of the locals as well ...",48 out of 100  Places to visit in United States of America,Not known
49. Dover,3.4/5,49 out of 100  Places to visit in United States of America,"Dover is full of festivals and car races. There usually is some or the other event at every point of a year. The town has many timber buildings dating back to centuries, making it a lot more spectacular. It has many car racing events- the NASCAR event- held annually- being the most famous of them al...",49 out of 100  Places to visit in United States of America,Not known
50. San Antonio,4.2/5,50 out of 100  Places to visit in United States of America,"San Antonio is the second-largest city in the state of Texas rich in history, tradition, fascinating multiculturism, and bustling modern attractions worth exploring. The city boasts numerous numbers of vineyards, amusement parks, restaurants, galleries, the San Antoni river with cafes and hotels alo...",50 out of 100  Places to visit in United States of America,Not known
51. Oklahoma City,3.2/5,51 out of 100  Places to visit in United States of America,"Oklahoma City in Texas is the eighth largest city in the state is rich in urban culture, affordable, and family-friendly. The city houses numerous hotels, Lakes, museums for history, art, cowboys, oil and even Native Americans, and some of the most picturesque attractions.",51 out of 100  Places to visit in United States of America,Not known
52. Portland,3.5/5,52 out of 100  Places to visit in United States of America,"Situated on a peninsula in Casco Bay on the Gulf of Marine and the Atlantic Ocean, Portland is a gorgeous seaport city with marvellous history and captivating sights to spot. Historically known for its commerce activities at its seaports, the city has now transformed into a tourist hub, especially k...",52 out of 100  Places to visit in United States of America,Not known
53. Lenox,3.5/5,53 out of 100  Places to visit in United States of America,"Located in the gorgeous, green Berkshire County, Lenox is a beautiful small town. It is a famous retreat during the summers usually for hiking, orchestra concerts, visiting mansions previously occupied by famous people. It is also known for housing Shakespeare & Company, Tanglewood and others. T...",53 out of 100  Places to visit in United States of America,Not known
54. Providence,3.2/5,54 out of 100  Places to visit in United States of America,"Providence, the capital city of Rhode Island and also one of the most populous cities in the US, is an apt representation of “small town meets big city”. This city has everything ranging from exciting nightlife to family-friendly places to visit. It is also noted for textiles, jewellery, silverware,...",54 out of 100  Places to visit in United States of America,Not known
55. Provincetown,3.5/5,55 out of 100  Places to visit in United States of America,"Located at the tip of Cape Cod in Barnstable County, Provincetown is a small town famous for its beaches, harbour towns, artists, tourist industry and is a coastal resort destination during the summers. Provincetown is not only one of the oldest but also one of the highly developed towns in the...",55 out of 100  Places to visit in United States of America,Not known
56. Portsmouth,2.2/5,56 out of 100  Places to visit in United States of America,"Portsmouth is a seaport town known for its history and urban settlements It is additionally acknowledged for its history, scenic views, tax-free shopping, enjoyment parks and beaches. The city also has several 17th and 18th-century houses inside the Strawbery Banke Museum where the lo...",56 out of 100  Places to visit in United States of America,Not known
57. Berkshires,3.1/5,57 out of 100  Places to visit in United States of America,"Berkshires is a famous highland region, mostly known for the Green Mountains that extend into Massachusetts. It’s a year-round vacation destination because of the famous hiking trails, waterfalls (Berkshires houses on the oldest and tallest waterfalls in Massachusetts), museums, orchestra concerts a...",57 out of 100  Places to visit in United States of America,Not known
58. Kennebunkport,2.0/5,58 out of 100  Places to visit in United States of America,"Named after its shipbuilding and fishing business, Kennebunkport is a picturesque town with beaches, ports and cottages everywhere. Home to not more than 4000 people, the town is located in Maine, Massachusetts. The urbanised town has all the facilities at the same time retaining its age-old heritag...",58 out of 100  Places to visit in United States of America,Not known
59. McKinney,1.2/5,59 out of 100  Places to visit in United States of America,McKinney in Texas state is ranked amidst the best places to live in the United States. It is the second-largest city in Collin County. The city has a lot of historical significance and is one of the largest historic districts in the state. The city was originally known for serving as the principal c...,59 out of 100  Places to visit in United States of America,Not known
60. Ennis,3.5/5,60 out of 100  Places to visit in United States of America,"Ennis is also known as the Official Bluebonnet City of Texas, the city provides a 40 - mile drive around the bluebonnet of the Official Bluebonnet Trail of Texas, Authentic Czech food and music, and shopping in this historic district. The largest attraction in this city is the Bardwell lake tha...",60 out of 100  Places to visit in United States of America,Not known
61. Waco,3.4/5,61 out of 100  Places to visit in United States of America,"Waco is situated between Dallas and Austin, along the Brazos River, and is the second-largest city in McLennan County and Central Texas. The city is the ultimate destination for history lovers. It features the oldest operating University in the Texas state and the oldest suspension bridge, and ...",61 out of 100  Places to visit in United States of America,Not known
62. Galveston,1.5/5,62 out of 100  Places to visit in United States of America,"Galveston is an island city located South of Texas. It is a major port city and also a commercial centre. It has often been referred to as the Wall-Street of the South. Holding one of the United States' largest ports, Galveston is also home to the American National Insurance Company. Known for its c...",62 out of 100  Places to visit in United States of America,Not known
63. Santa Fe,2.0/5,63 out of 100  Places to visit in United States of America,"The capital of New Mexico, Santa Fe, lies on a river tributary, heralded by the snowy peaks of the Sangre de Cristo Mountains. This enigmatic and fun state has garnered a reputation as a definitive celebration state, with its unique character that absorbs Spanish, Hispanic and Native American influe...",63 out of 100  Places to visit in United States of America,Not known
64. Raleigh,2.0/5,64 out of 100  Places to visit in United States of America,"Frequently featured on top ten lists due to its high quality of life and a subtle juxtaposition of the urban and natural, Raleigh's crepe myrtle lined streets make it an attractive destination in the state of North Carolina. The city is especially notable for its historic buildings, numerous museums...",64 out of 100  Places to visit in United States of America,Not known
65. Columbus,1.5/5,65 out of 100  Places to visit in United States of America,"Columbus is the capital city of the state of Ohio, known for its quintessential take on the American experience. The city, one of the most populous in the United States is known for its large universities, football culture and notable zoos. Columbus features several things to do and its metropolitan...",65 out of 100  Places to visit in United States of America,Not known
66. Pierre,2.5/5,66 out of 100  Places to visit in United States of America,The town of Pierre is located between the Cheyenne River Reservation to the northwest and the Crow Creek Reservation in the southeast. It is a landlocked Midwestern state with plenty of historical landmarks and places to visit with family.,66 out of 100  Places to visit in United States of America,Not known
67. Phoenix,3.0/5,67 out of 100  Places to visit in United States of America,"The capital of Arizona, Phoenix boasts sunny weather all year round and was thus entitled as Valley of the Sun. The idiosyncratic beauty of Phoenix’s imposing metropolis is an addition to the already stunning desert vistas and mountain landscapes surrounding it. The seamlessly blended urban flair wi...",67 out of 100  Places to visit in United States of America,Not known
68. Tallahassee,3.5/5,68 out of 100  Places to visit in United States of America,"Tallahassee, the state capital and College Town of Florida, is known for its rich cultural heritage and history. The place is a blend of cosmopolitan panache and southern vibe giving the tourists a unique experience. Tallahassee is home to Florida State University and Florida A and M and a hub for a...",68 out of 100  Places to visit in United States of America,Not known
69. Atlanta,3.0/5,69 out of 100  Places to visit in United States of America,"The city of Atlanta has many names, but none substantiate the grandeur of the arts, music, and cultural history the city is ingrained with. The state capital of Georgia has been home to many world-renowned pioneers from music and arts, business and politics and their footprints left the city with pr...",69 out of 100  Places to visit in United States of America,Not known
70. Springfield,2.5/5,70 out of 100  Places to visit in United States of America,Springfield City is steeped with political history and is the corridor of power in Illinois administration. The city cradles the principles and ideologies of President Abraham Lincoln’s saga dotted across the town. The must-see sites in and around the city include some of the best heritage sites in ...,70 out of 100  Places to visit in United States of America,Not known
71. Saint Paul,3.5/5,71 out of 100  Places to visit in United States of America,"The city of Saint Paul is unique in the sense that it has an old frontier town vibe intertwined in the urban foliage. Being one of the twin cities, it is a popular tourist destination during most times of the year. The Xcel Energy Centre continues to host events all round the year that attract natio...",71 out of 100  Places to visit in United States of America,Not known
72. Jackson,2.5/5,72 out of 100  Places to visit in United States of America,"The city with soul, Jackson harbours a rich natural and a diverse cultural history that is unique to the place. The city is dotted with fun-filled outdoor activities that are loved by tourists from all local and foreign places. Jackson celebrates its art and culture and boasts its history in the sev...",72 out of 100  Places to visit in United States of America,Not known
73. Jefferson City,2.5/5,73 out of 100  Places to visit in United States of America,"Jefferson City, Missouri is termed as one of the most beautiful small towns in America. The city’s landscape is replete with several parks and nature trails, golf courses, and camping sites that appeal to both families and backpackers. Perhaps the most popular attractions in the city are its histori...",73 out of 100  Places to visit in United States of America,Not known
74. Trenton,2.5/5,74 out of 100  Places to visit in United States of America,"Trenton, despite being one the first few cities to achieve independence, still retains some of the Colonial charms that make the place so unique in its attractions. The city is dotted with several historic sites that chronicle the tales from the war times. Trenton is most popular among the history b...",74 out of 100  Places to visit in United States of America,Not known
75. Columbia,2.5/5,75 out of 100  Places to visit in United States of America,"Among the many interesting places in South Carolina is the city of Columbia. The city has some of the most amazing beaches, hill stations, valleys and tropical climate. Every year, hundreds of tourists throng the city for various adventure trips in the hills.",75 out of 100  Places to visit in United States of America,Not known
76. Salt Lake City,2.5/5,76 out of 100  Places to visit in United States of America,"Salt Lake City, a scaled-down version of great Utah, is as exciting as the rest of the State. Take a guided city tour on a bike or escape to the pristine lakeside for camping and fishing, take a hike in the Bryce Canyon or abscond to the Grandeur Peak for a splendor view of the city and the mou...",76 out of 100  Places to visit in United States of America,Not known
77. Richmond,3.5/5,77 out of 100  Places to visit in United States of America,"Richmond city is a mix of art and culture embedded in the network of rivers and hills. While the James river is the heart and soul of the city, hiking and climbing adventures of Forest Hill Park are not to be missed. The historic capital of Virginia is no doubt dotted with a plethora of antique site...",77 out of 100  Places to visit in United States of America,Not known
78. Carson City,2.5/5,78 out of 100  Places to visit in United States of America,"The capital of Nevada, Carson City is the heart and soul of the state. The city reverberates with the history of the four tribes that nestled in the area for about 6000 years. The Carson City Historic District preserves all these and more from the Victorian era. All along the Kit Carson Trail are mo...",78 out of 100  Places to visit in United States of America,Not known
79. Bismarck,3.0/5,79 out of 100  Places to visit in United States of America,"Bismarck is the most underrated city in the Northern region of the United States because it offers less sporting avenues and adventure but more of history. Still, it is a beautiful destination. Its unassuming place in the travel list, does injustice to the vast amount of experiences it provides.",79 out of 100  Places to visit in United States of America,Not known
80. Des Moines,4.0/5,80 out of 100  Places to visit in United States of America,"With a well-rooted culture, Des Moines is a paradise for people looking to indulge in the local arts of the state of Iowa. Jam-packed with botanical gardens and sculpture parks as well, a small trip doesn’t do justice to this little yet proud city.",80 out of 100  Places to visit in United States of America,Not known
81. Indianapolis,3.0/5,81 out of 100  Places to visit in United States of America,"Likewise known to many as Indy, Indianapolis is the capital city of the Hoosiers. A perfect blend of natural and urban retreats, its cityscape is shaped by glorious museums, zooming race cars, lush gardens, scenic trails, and tranquil streams. The hallmark of this city, however, is Indy 500. Held in...",81 out of 100  Places to visit in United States of America,Not known
82. Montgomery,4.0/5,82 out of 100  Places to visit in United States of America,Montgomery is a city bursting with character. It is a historically important city as it was the centre of the American Civil Rights movement. Its streets are filled with colonial architecture and a pleasant smell of jasmine tingles your senses as you stroll around. The city has an old town spark to ...,82 out of 100  Places to visit in United States of America,Not known
83. Brookline,3.9/5,83 out of 100  Places to visit in United States of America,"Brookline is a city in Norfolk County, Massachusetts that boasts a rich heritage. Being the birthplace of John F. Kennedy and hence draws many visitors year-round and the site is also listed in the National Register of Historic Places. A town that is best explored on foot, it has various libraries, ...",83 out of 100  Places to visit in United States of America,Not known
84. Cambridge,Not known,84 out of 100  Places to visit in United States of America,"Named after the renowned University of Cambridge in England, Cambridge is a part of Boston and is situated in Middlesex County, Massachusetts. The city is known to house the famous universities of the United States, Harvard University and the Massachusetts Institute of Technology (MIT), making it th...",84 out of 100  Places to visit in United States of America,Not known
85. Chelsea,2.2/5,85 out of 100  Places to visit in United States of America,"Chelsea is one of the densely populated cities in Massachusetts, US. It lies on the Mystic River and is mainly an industrial city. The high number of working-class living here and the diverse population has made it an architectural wonder. Due to its vast industrial history, landmarks like the polic...",85 out of 100  Places to visit in United States of America,Not known
86. Concord,3.5/5,86 out of 100  Places to visit in United States of America,"Concord is a town of historical significance located in Middlesex County, Massachusetts. A must-visit place for history enthusiasts, the Battle of Lexington and Concord took place here. The battle laid the base for the American Revolution, and the site is currently located at the Minute Man National...",86 out of 100  Places to visit in United States of America,Not known
87. Dedham,2.9/5,87 out of 100  Places to visit in United States of America,"Dedham is a town that radiates an old-world charm, mainly as European colonists established it in 1635. Located in the Norfolk County of Massachusetts, it has a dense suburban feel and offers a cozy vibe with the cafés, restaurants, and parks lining the town. One can visit the Dedham Historical Soci...",87 out of 100  Places to visit in United States of America,Not known
88. Everett,3.9/5,88 out of 100  Places to visit in United States of America,"Everett is located in Middlesex County, Massachusetts, and was the last one to have a bicameral legislature in the US. The city has a rich modern culture, and the famous casino Encore leads that scene. The city has witnessed some favorite movies being filmed, including Gone Baby Gone – a 2007 film s...",88 out of 100  Places to visit in United States of America,Not known
89. Gloucester,1.1/5,89 out of 100  Places to visit in United States of America,Gloucester is located on the Cape of Ann and boasts of a rich 400-year old history. This city is famous for the fishing industry and also serves as the nation's oldest seaport. The seaside of Gloucester makes a perfect place for family outings and relishing the fresh seafood. It is not only the beac...,89 out of 100  Places to visit in United States of America,Not known
90. Hudson,4.0/5,90 out of 100  Places to visit in United States of America,Hudson is just a few thirteen minutes away or around three miles drive away from the city centre of New York. It is a beautiful yet calm and serene river-port town from the 18th century making it a perfect getaway spot for all kinds of travellers. The main point of attraction in Hudson is Warre...,90 out of 100  Places to visit in United States of America,Not known
91. Groton,2.2/5,91 out of 100  Places to visit in United States of America,"Groton is a quaint town with an exciting history and is located in Middlesex County, Massachusetts. The city provides a rural feel and has various trails and hikes spread across its length. There are over 100 trails to explore for hunting, camping, biking, or hiking. Around 30 percent of the town is...",91 out of 100  Places to visit in United States of America,Not known
92. Beacon,3.5/5,92 out of 100  Places to visit in United States of America,"Beacon is located in the Hudson Valley and and 100 miles or two hours’ drive from the New York City from New York City. It has always been a haven for art and history lovers with artsy pubs and restaurants all around the town. The most prominent ones are Dogwood on Main Street, which has fresh veget...",92 out of 100  Places to visit in United States of America,Not known
