,Name,Street Address,Type,Reviews,No of Reviews,Comments,Contact Number,Trip_advisor Url,Menu,City,State
10,317 @ Montgomery,317 Montgomery St," American, Contemporary, Fusion",4.5,131,"I am NOT a fan of noisy restaurants, and the 317 is perfect for great food and conversation. We had the steak and it was perfectly cooked, followed by the flourless chocolate cake, which was divine. The service was attentive, and the atmosphere pleasant. My...More",+1 315-214-4267,https://www.tripadvisor.com//Restaurant_Review-g48713-d5002099-Reviews-317_Montgomery-Syracuse_Finger_Lakes_New_York.html,http://www.317syr.com/menu-1,Syracuse, NY
11,5 Burro Cafe,7205 Austin St," Mexican, Vegetarian Friendly",4.0,126,"Excellent food, great atmosphere. We were a group of 5 and every dish was delicious. Nachos were awesome and the beef burrito was made with quality steak.  We picked this spot because we happened to be in the neighborhood, but next time I'm in NY...More",+1 718-544-2984,https://www.tripadvisor.com//Restaurant_Review-g47732-d3444874-Reviews-5_Burro_Cafe-Forest_Hills_Queens_New_York.html,Check The Website for a Menu,Forest Hills, NY
12,5.Ate Cafe,403 E Louetta Rd," American, Cafe, Pizza",5.0,42,Great handburgers with home made bun.  Loved it. Duaghter took me for Fathers Day.  Ranked one of the best burers in state and it did not disappoint. Get to watch rock climbers while you eat a burger and fries!!!,+1 281-516-5283,https://www.tripadvisor.com//Restaurant_Review-g56701-d7206752-Reviews-5_Ate_Cafe-Spring_Texas.html,https://www.5atecafe.com/menu,Spring, TX
13,50th Street Caboose,5027 50th St," Mexican, American, Vegetarian Friendly",4.5,239,Food is pretty good. My wife liked the chicken pot pie. I found the chile relleno heavy. There are lots of video games to play and drinks available.,+1 806-796-2240,https://www.tripadvisor.com//Restaurant_Review-g56208-d518578-Reviews-50th_Street_Caboose-Lubbock_Texas.html,Check The Website for a Menu,Lubbock, TX
14,54 Degrees at Duane's,3649 Mission Inn Ave," American, Bar, Spanish",4.5,54,No comments,+1 951-784-0300,https://www.tripadvisor.com//Restaurant_Review-g32978-d3731528-Reviews-54_Degrees_at_Duane_s-Riverside_California.html,https://www.missioninn.com/d/missioninnresponsive/media/Dining/54_Menus/54_Menu_FOL_2017.pdf,Riverside, CA
15,54th Street Restaurant & Drafthouse,1850 Market Place Boulevard," American, Bar, Vegetarian Friendly",4.0,126,No comments,+1 972-556-1154,https://www.tripadvisor.com//Restaurant_Review-g56032-d8384713-Reviews-54th_Street_Restaurant_Drafthouse-Irving_Texas.html,https://www.54thstreetgrill.com/menu.html,Irving, TX
16,555 East American Steakhouse,555 E Ocean Blvd," American, Steakhouse, Vegetarian Friendly",4.5,468,No comments,+1 562-437-0626,https://www.tripadvisor.com//Restaurant_Review-g32648-d467888-Reviews-555_East_American_Steakhouse-Long_Beach_California.html,Check The Website for a Menu,Long Beach, CA
17,575 Pizzeria,7710 Hillside Rd," Italian, Pizza, Vegetarian Friendly",4.5,774,What can I say . Great selection of Pizza Beer and Wine. Price is within reason and service was exalant.,+1 806-322-5575,https://www.tripadvisor.com//Restaurant_Review-g30165-d1811448-Reviews-575_Pizzeria-Amarillo_Texas.html,Check The Website for a Menu,Amarillo, TX
18,5th Avenue Sandwich Shop,117 5th Ave SE," American, Soups, Vegetarian Friendly",4.5,353,This place has the best egg salad sandwiches. Plus if you ask they will add pickles! Their pies are also homemade and I can recommend anything with chocolate,+1 360-705-3393,https://www.tripadvisor.com//Restaurant_Review-g58653-d2515293-Reviews-5th_Avenue_Sandwich_Shop-Olympia_Washington.html,Check The Website for a Menu,Olympia, WA
19,5th Street Cafe,8621 5th St," American, Cafe, Vegetarian Friendly",4.0,181,"We love this place however I was a little disappointed in my last visit. My husband had a salad and I had the biscuits and gravy.

My biscuits did not have enough gravy on them and I requested some additional gravy and I was charged...More",+1 972-377-3483,https://www.tripadvisor.com//Restaurant_Review-g55870-d1453607-Reviews-5th_Street_Cafe-Frisco_Texas.html,https://5thstreetcafe.com/menu/,Frisco, TX
20,677 Prime,677 Broadway," American, Steakhouse, Gluten Free Options",4.5,437,"Tremendous service.  Nice atmosphere.  Ordered the large filet mignon and it had a lot of grisly fat in the middle.  Didn't complain cause im not one for that, but that is a few times now where my steak there was well below average.  I prefer...More",+1 518-427-7463,https://www.tripadvisor.com//Restaurant_Review-g29786-d829073-Reviews-677_Prime-Albany_New_York.html,Check The Website for a Menu,Albany, NY
21,701 Mosaic,701 E 4th St," American, Mediterranean, Caribbean",4.5,218,"This place was only a short 2 block walk from our hotel on a cool summer evening. We arrived close to about an hour before closing, without reservations, luckily they were able to accommodate us and did not make us feel unwanted at the later...More",+1 609-398-2700,https://www.tripadvisor.com//Restaurant_Review-g46696-d1384369-Reviews-701_Mosaic-Ocean_City_Cape_May_County_New_Jersey.html,Check The Website for a Menu,Ocean City, NJ
22,8oz Burger & Co,1401 Broadway," American, Bar, Vegetarian Friendly",4.5,240,"We were one our way to Canada and just passed by, but we're hungry. Service was perfect, hamburgers great, all you can expect if you have a burger.
The toddler got some carrots as a side order.",+1 206-466-5989,https://www.tripadvisor.com//Restaurant_Review-g60878-d2639411-Reviews-8oz_Burger_Co-Seattle_Washington.html,http://8ozburgerandco.com/#menu-section,Seattle, WA
23,90 Pacifica Restaurant and Bar,90 Pacifica," American, Vegetarian Friendly, Vegan Options",4.5,97,No comments,+1 949-471-8888,https://www.tripadvisor.com//Restaurant_Review-g32530-d4855269-Reviews-90_Pacifica_Restaurant_and_Bar-Irvine_California.html,Check The Website for a Menu,Irvine, CA
24,99 Restaurants,107 Wolf Road," American, Bar, Pub",4.0,144,"Food typical for any chain , though tasty and good size servings. Played Trivia with about 25 people and  with a trivia caller it was fun at the bar- where we ate - happy hour",+1 518-446-9909,https://www.tripadvisor.com//Restaurant_Review-g29786-d420704-Reviews-99_Restaurants-Albany_New_York.html,http://www.99restaurants.com/menu,Albany, NY
25,A Cote Restaurant,5478 College Ave," Vegetarian Friendly, Gluten Free Options",4.0,164,No comments,+1 510-655-6469,https://www.tripadvisor.com//Restaurant_Review-g32810-d371504-Reviews-A_Cote_Restaurant-Oakland_California.html,Check The Website for a Menu,Oakland, CA
26,A Little Bit of Cuba,2 E Main St," Caribbean, Latin, Spanish",4.0,214,"No one was in the restaurant !!!  Probably the time of year —-but that made me nervous —-anyway, the food was good.",+1 732-577-8506,https://www.tripadvisor.com//Restaurant_Review-g46453-d1549356-Reviews-A_Little_Bit_of_Cuba-Freehold_New_Jersey.html,Check The Website for a Menu,Freehold, NJ
27,A Touch of Naples Pizza & Pasta,389 Violet Ave," Italian, Pizza",5.0,22,This is a family operated gem. They make the best pizza in the entire region. You would probably have to go to White Plains or Albany to find pizza that could even come close. You are not doing yourself any favors if you get your...More,+1 845-473-5744,https://www.tripadvisor.com//Restaurant_Review-g48443-d4654515-Reviews-A_Touch_of_Naples_Pizza_Pasta-Poughkeepsie_New_York.html,Check The Website for a Menu,Poughkeepsie, NY
28,A.R. Valentien at The Lodge at Torrey Pines,11480 N Torrey Pines Rd," American, Vegetarian Friendly, Vegan Options",4.5,628,No comments,+1 858-777-6635,https://www.tripadvisor.com//Restaurant_Review-g32578-d3317307-Reviews-A_R_Valentien_at_The_Lodge_at_Torrey_Pines-La_Jolla_San_Diego_California.html,Check The Website for a Menu,San Diego, CA
29,Aarzu Modern Indian Bistro,30 E Main St," Indian, Vegetarian Friendly, Vegan Options",5.0,76,Visited this restaurant for my wife’s birthday dinner.  The food was delicious and the service was exceptional.  Great BYOB.  We shared everything we ordered.  Some of the best Indian cuisine in NJ.,+1 732-333-0933,https://www.tripadvisor.com//Restaurant_Review-g46453-d10671580-Reviews-Aarzu_Modern_Indian_Bistro-Freehold_New_Jersey.html,Check The Website for a Menu,Freehold, NJ
30,Aberdeen Seafood and Dim Sum,3 Barker Ave," Chinese, Asian, Seafood",4.0,149,"the dim sum is not tops but it is so much better than the rest If you want dim sum in Westchester, this is the place to go. I usually dim sum in the city but this is so much more convenient and essentially the...More",+1 914-288-0188,https://www.tripadvisor.com//Restaurant_Review-g48883-d788272-Reviews-Aberdeen_Seafood_and_Dim_Sum-White_Plains_New_York.html,Check The Website for a Menu,White Plains, NY
31,Abhiruchi,233 NE Chkalov Dr," Indian, Vegetarian Friendly, Vegan Options",4.5,85,"After seeing the great reviews, I expected some very good and authentic cuisine. Not the case!
Just ehhhh.",+1 360-260-1014,https://www.tripadvisor.com//Restaurant_Review-g60820-d2347526-Reviews-Abhiruchi-Vancouver_Washington.html,Check The Website for a Menu,Vancouver, WA
32,Abigail's Cafe,804 W Elizabeth Ave," Polish, European, Vegetarian Friendly",4.5,138,Really nice and chill spot for drinks with friends or alone which I do sometimes. I'll come here for a salmon salad and a glass of wine. I like the bar because people are pretty friendly here. The service is pretty good usually. And the...More,+1 908-523-0777,https://www.tripadvisor.com//Restaurant_Review-g46571-d1741642-Reviews-Abigail_s_Cafe-Linden_New_Jersey.html,Check The Website for a Menu,Linden, NJ
33,Abu Rass,1057 Main St," Lebanese, Middle Eastern, Mediterranean",4.5,17,"We always love going there. Food, price, service -- all really excellent. Specials are always good. Highly recommended.",+1 973-278-0007,https://www.tripadvisor.com//Restaurant_Review-g46718-d8619901-Reviews-Abu_Rass-Paterson_New_Jersey.html,http://www.menufy.com,Paterson, NJ
34,Abuelo's,1041 West 1-20," Mexican, Southwestern, Vegetarian Friendly",4.5,215,"The wife and I used to go to Abuelo’s fairly regularly when it first opened years ago.  It was always great food and a beautifully appointed dining room.  Then, for no particular reason, we stopped going.  

Now, after a few years, we are back as...More",+1 817-468-2622,https://www.tripadvisor.com//Restaurant_Review-g30183-d464611-Reviews-Abuelo_s-Arlington_Texas.html,Check The Website for a Menu,Arlington, TX
35,Abuelo's,4401 82nd St," Mexican, Southwestern, Vegetarian Friendly",4.5,631,I eat here quite often after church.  I usually eat the Best of the House but this time I decided to try the Chile Rellanos.  They were great.,+1 806-794-1762,https://www.tripadvisor.com//Restaurant_Review-g56208-d471284-Reviews-Abuelo_s-Lubbock_Texas.html,Check The Website for a Menu,Lubbock, TX
36,Abuelo’s,3501 SW 45th Ave," Mexican, Southwestern, Vegetarian Friendly",4.5,374,Had the Brocheta De Filet my guest had the Brisket Mexico City-Style Tacos. Always delicious! Enjoy your weekend,+1 806-354-8294,https://www.tripadvisor.com//Restaurant_Review-g30165-d411883-Reviews-Abuelo_s-Amarillo_Texas.html,Check The Website for a Menu,Amarillo, TX
37,AC3 Restaurant + Bar,45350 Larkspur Ln," American, Bar, Contemporary",4.5,205,No comments,+1 760-340-6069,https://www.tripadvisor.com//Restaurant_Review-g32846-d13390643-Reviews-AC3_Restaurant_Bar-Palm_Desert_Greater_Palm_Springs_California.html,Check The Website for a Menu,Palm Desert, CA
38,Acapulco Restaurant,1133 Airline Rd," Mexican, Southwestern, Vegetarian Friendly",4.0,207,"My Husband and I love their food but the tortillas are the star of the show. Soft, pillowy and just the right thickness. Fresh tasting not day old warm ups.",+1 361-994-7274,https://www.tripadvisor.com//Restaurant_Review-g60927-d510805-Reviews-Acapulco_Restaurant-Corpus_Christi_Texas.html,Check The Website for a Menu,Corpus Christi, TX
39,Acquerello,1722 Sacramento St," Italian, Contemporary, Vegetarian Friendly",4.5,350,No comments,+1 415-567-5432,https://www.tripadvisor.com//Restaurant_Review-g60713-d370438-Reviews-Acquerello-San_Francisco_California.html,Check The Website for a Menu,San Francisco, CA
40,Acquista Trattoria,17801 Union Tpke," Italian, Pizza, Vegetarian Friendly",4.5,37,"stopped for dinner after seeing Lucie Arnaz @ the Little Theater @ St. John's-glad we did
we had:  egg plant parm hero; chicken monte carlo(chicken breast w asparagus, mozzarella sauteed in champagne sauce w mixed veggies w a glass of a nice sicilian white made...More",+1 718-969-1411,https://www.tripadvisor.com//Restaurant_Review-g47729-d923235-Reviews-Acquista_Trattoria-Flushing_Queens_New_York.html,http://acquistany.com/menu,Flushing, NY
41,Acropolis Pizza & Pasta,500 Central Way," Greek, Italian, Pizza",4.0,74,"This place has been run by the same family since they opened in 1973.  I had a salad and a half meatball grinder, sliced meatballs with tomato sauce and cheese.  These things are delicious but can be messy to eat.  Imagine if it had round...More",+1 425-827-3777,https://www.tripadvisor.com//Restaurant_Review-g58541-d807218-Reviews-Acropolis_Pizza_Pasta-Kirkland_Washington.html,Check The Website for a Menu,Kirkland, WA
42,Addictive Wine & Tapas Bar,8701 Northern Blvd," Spanish, Wine Bar, Vegetarian Friendly",5.0,25,"Excellent Service and good wine,food it's good. Thanks.👍I will recommend this place to  friends And family's.",+1 347-832-0951,https://www.tripadvisor.com//Restaurant_Review-g47960-d11925618-Reviews-Addictive_Wine_Tapas_Bar-Jackson_Heights_Queens_New_York.html,http://www.addictivewinebar.com/tapas,Jackson Heights, NY
43,Adega Grill,130 Ferry St," Portuguese, Seafood",4.0,160,"I have been to the Adega Grill before and thought it was time to review it again. The food, service and ambiance, as always, consistently surpassed my expectations: The secrets to Adega’s success are fresh ingredients, cooked in a well-run kitchen with tons of culinary...More",+1 973-589-8830,https://www.tripadvisor.com//Restaurant_Review-g46671-d2712462-Reviews-Adega_Grill-Newark_New_Jersey.html,Check The Website for a Menu,Newark, NJ
44,Adobe Blues Restaurant,63 Lafayette Ave," Mexican, Bar, American",4.5,89,"Adobe Blues is a small restaurant serving southwestern food on the north shore of Staten Island. It is a cozy, comfortable, nicely decorated place not far from Snug Harbor, another S.I. spot worth visiting. The Tex-Mex style food is very tasty and the waiters are...More",+1 718-720-2583,https://www.tripadvisor.com//Restaurant_Review-g48682-d459104-Reviews-Adobe_Blues_Restaurant-Staten_Island_New_York.html,Check The Website for a Menu,Staten Island, NY
45,Adolios,2370 N Expressway," American, Bar, Grill",4.0,28,"Good food, awesome drinks, and excellent service! These dishes and cocktails are on point!

A great spot to catch a few drinks while your wait for a movie to start or while you wait for the Mrs to finish her shopping.",+1 956-982-0491,https://www.tripadvisor.com//Restaurant_Review-g60928-d3707913-Reviews-Adolios-Brownsville_Texas.html,https://www.adolios.com/menu,Brownsville, TX
46,Adrienne's Pizzabar,54 Stone St," Italian, Pizza, Vegetarian Friendly",4.5,854,"Came across this pizza bar walking back to our hotel after visiting the Statue of Liberty. I am so glad we came here; the pizza was out of this world. The flavours were incredible, pizza was well presented, and 1 pizza was shared between 3...More",+1 212-248-3838,https://www.tripadvisor.com//Restaurant_Review-g60763-d2397895-Reviews-Adrienne_s_Pizzabar-New_York_City_New_York.html,Check The Website for a Menu,New York City, NY
47,Afrah Mediterranean Restaurant and Pastries,318 E Main St," Lebanese, Mediterranean, Middle Eastern",4.0,211,"I went mid-week and it was a nice overall experience.  Most of the chicken could have used a little more time in the oven as it was a bit firm and a piece or two was a little dry.  The other things, in general, were...More",+1 972-234-9898,https://www.tripadvisor.com//Restaurant_Review-g56538-d830951-Reviews-Afrah_Mediterranean_Restaurant_and_Pastries-Richardson_Texas.html,Check The Website for a Menu,Richardson, TX
48,AGAVA Restaurant,381 Pine Tree Rd," American, Southwestern, Bar",4.0,431,"Good food and drinks.  Feel like the food is getting more expensive though.  Nice indoor setting, but can get noisy.  Good stop for a Sunday afternoon cocktail.  The free home-made nachos and dip is a plus.More",+1 607-319-4366,https://www.tripadvisor.com//Restaurant_Review-g47958-d2669734-Reviews-AGAVA_Restaurant-Ithaca_Finger_Lakes_New_York.html,Check The Website for a Menu,Ithaca, NY
49,Agave Cocina & Cantina,17158 Redmond Way," Mexican, Contemporary, Vegetarian Friendly",4.0,71,"I’ll preface this with the fact I compare this to Texas. My companions from the northeast enjoyed their choices. My taco salad was okay. I prefer when the lettuce is chilled and the meat is hot, and perhaps it wasn’t delivered to the table quickly...More",+1 425-881-8252,https://www.tripadvisor.com//Restaurant_Review-g58702-d2334908-Reviews-Agave_Cocina_Cantina-Redmond_Washington.html,Check The Website for a Menu,Redmond, WA
50,Agave Cocina & Cantina,504 Ramsay Way," Mexican, Southwestern, Vegetarian Friendly",4.0,78,"The food is delicious. I've always had good service.  Nice atmosphere.  I go there regularly.  Great for groups, too.",+1 253-277-2053,https://www.tripadvisor.com//Restaurant_Review-g58537-d8466559-Reviews-Agave_Cocina_Cantina-Kent_Washington.html,Check The Website for a Menu,Kent, WA
51,Agnanti,1906 Ditmars Blvd," Mediterranean, Greek, Vegetarian Friendly",4.5,175,"I went to this lovely restaurant during my visit to New York. I’ve been working in a Greek restaurant, in Holland, owned by a lovely Nice Greek family, myself for almost 3 years now and I must see that the food was incredibly delicious and...More",+1 718-545-4554,https://www.tripadvisor.com//Restaurant_Review-g29837-d804739-Reviews-Agnanti-Astoria_Queens_New_York.html,Check The Website for a Menu,Astoria, NY
52,Agora Churrascaria,1830 Main St," Brazilian, Steakhouse, Barbecue",4.0,170,No comments,+1 949-222-9910,https://www.tripadvisor.com//Restaurant_Review-g32530-d817116-Reviews-Agora_Churrascaria-Irvine_California.html,Check The Website for a Menu,Irvine, CA
53,Agricola Eatery,11 Witherspoon St," American, Vegetarian Friendly, Vegan Options",4.0,728,"A late lunch consisting of two cocktails, entree and a burger and a shared dessert - $100.  Seems pricey considering service was somewhat poor, no bread, no checking in to see how we were.  Asked for burger medium, it was medium rare at best.  Burger...More",+1 609-921-2798,https://www.tripadvisor.com//Restaurant_Review-g46756-d3664865-Reviews-Agricola_Eatery-Princeton_New_Jersey.html,https://www.agricolaeatery.com/menus/,Princeton, NJ
54,Ah' Pizz,7 N Willow St," Italian, Pizza, Vegetarian Friendly",4.0,124,"We had a party of 12 for dinner, the food was amazing. The service was great and we all enjoyed everything",+1 973-783-9200,https://www.tripadvisor.com//Restaurant_Review-g46637-d2357894-Reviews-Ah_Pizz-Montclair_New_Jersey.html,Check The Website for a Menu,Montclair, NJ
55,Aioli Bodega Espanola,1800 L St," Spanish, Mediterranean, Vegan Options",4.5,189,No comments,+1 916-447-9440,https://www.tripadvisor.com//Restaurant_Review-g32999-d339757-Reviews-Aioli_Bodega_Espanola-Sacramento_California.html,Check The Website for a Menu,Sacramento, CA
56,Airways Bistro,320 W Harrison St," American, Bar, Pub",4.0,42,Great little tap room bistro.  Not familiar with the area and it was a little hard for us to find.   It isn't a fancy big brewery that stands out from the street but it sure stands out in great beers.  The Mr liked the Amber...More,+1 253-236-8632,https://www.tripadvisor.com//Restaurant_Review-g58537-d2426486-Reviews-Airways_Bistro-Kent_Washington.html,Check The Website for a Menu,Kent, WA
57,Aja Asian Cuisine and Lounge,28 US Highway 1," Japanese, Sushi, Asian",4.0,83,This restaurant was close to the hotel I was staying at. food was average but since it was so cold out side I did not want to go far.,+1 732-249-5888,https://www.tripadvisor.com//Restaurant_Review-g46664-d4135109-Reviews-Aja_Asian_Cuisine_and_Lounge-New_Brunswick_New_Jersey.html,http://aja-newbrunswick.com/aja/wp-content/uploads/2017/05/Dine-In-Menu-2017-1.pdf,New Brunswick, NJ
58,Ajanta Distinctive Indian Cuisine,1888 Solano Ave," Indian, Vegetarian Friendly, Vegan Options",4.5,162,No comments,+1 510-526-4373,https://www.tripadvisor.com//Restaurant_Review-g32066-d371490-Reviews-Ajanta_Distinctive_Indian_Cuisine-Berkeley_California.html,Check The Website for a Menu,Berkeley, CA
59,Akasaka Restaurant,31407 Pacific Hwy S Ste H," Japanese, Sushi, Asian",4.5,35,"Service was the worst ever and the food was mediocre at best.  Read on for more:

We were seated for about seven minutes before our order was taken.
We were not given the little appetizer dishes until 15 minutes after that, and only because I...More",+1 253-946-3858,https://www.tripadvisor.com//Restaurant_Review-g58471-d866189-Reviews-Akasaka_Restaurant-Federal_Way_Washington.html,http://eat24hrs.com/restaurants/order2/menu.php?id=45288,Federal Way, WA
60,Aki,1273 Broad St," Japanese, Sushi, Asian",4.5,70,"Very large portions of all items, including sushi......all very good and reasonably priced....in a comfortable setting.",+1 973-338-5030,https://www.tripadvisor.com//Restaurant_Review-g46310-d1547670-Reviews-Aki-Bloomfield_New_Jersey.html,Check The Website for a Menu,Bloomfield, NJ
61,Aki Sushi,321 N Columbia Center Blvd," Japanese, Sushi, Asian",4.5,38,We went here on a recommendation of a friend and were pleasantly surprised. The food was fabulous with generous portions and the prices were very reasonable. The service was quick and excellent. This will definitely be our new go to place for lunch.,+1 509-619-0928,https://www.tripadvisor.com//Restaurant_Review-g58536-d10606227-Reviews-Aki_Sushi-Kennewick_Tri_Cities_Washington.html,Check The Website for a Menu,Kennewick, WA
62,Al Basha,1076 Main St," Lebanese, Middle Eastern, Halal",4.0,80,They catered our work event.  What a great meal.  The chicken beef and lamb were HUGE portions the meat was prepared perfectly a little char on the tips and tender and juicy inside. The rice with slivers of almonds beautiful as well as delicious.  But...More,+1 973-433-4300,https://www.tripadvisor.com//Restaurant_Review-g46718-d1513466-Reviews-Al_Basha-Paterson_New_Jersey.html,https://albashausa.com/our-menu/,Paterson, NJ
63,Al Biernat's,4217 Oak Lawn Ave," American, Steakhouse, Vegetarian Friendly",4.5,776,Al Biernat’s never fails to give a great experience. Totally best service ever and fabulous food. Always has something new to offer.,+1 214-219-2201,https://www.tripadvisor.com//Restaurant_Review-g55711-d479626-Reviews-Al_Biernat_s-Dallas_Texas.html,Check The Website for a Menu,Dallas, TX
64,Al Di La Trattoria,248 5th Ave," Italian, Vegetarian Friendly, Gluten Free Options",4.5,320,"The bruschetta and the gnocchi are to die for here. This is a gem of its neighborhood, so I was told, and I must agree! The service was friendly and the restaurant is quaint although busy. The gnocchi was cooked to perfection and paired with...More",+1 718-636-8888,https://www.tripadvisor.com//Restaurant_Review-g60827-d484816-Reviews-Al_Di_La_Trattoria-Brooklyn_New_York.html,Check The Website for a Menu,Brooklyn, NY
65,Al Raouche Restaurant,169 Crooks Ave," Lebanese, Middle Eastern, Halal",4.5,15,"I have tried most of the Middle Eastern Restaurants in Paterson, NJ. Al Raouche stands out as one of the best, what makes the food great are the cooks or chefs who are still the same although the ownership have changed. I am never disappointed...More",+1 973-279-5131,https://www.tripadvisor.com//Restaurant_Review-g46718-d4842003-Reviews-Al_Raouche_Restaurant-Paterson_New_Jersey.html,Check The Website for a Menu,Paterson, NJ
66,Al Santillo's Brick Oven Pizza,639 S Broad St," Italian, Pizza, Vegetarian Friendly",4.5,91,I know pizza.  This is by far the best in the area.  I especially like the Sicilian.  I love that the pizza  is described by year.,+1 908-354-1887,https://www.tripadvisor.com//Restaurant_Review-g46414-d775645-Reviews-Al_Santillo_s_Brick_Oven_Pizza-Elizabeth_New_Jersey.html,Check The Website for a Menu,Elizabeth, NJ
67,Albany Pump Station CH Evans Brewing Co.,19 Quackenbush Sq," American, Bar, Pub",4.0,918,"Food was excellent in a warm environment, staff was attentive and patient as we were there a long time. Will definitely be going back! Great menu also!",+1 518-447-9000,https://www.tripadvisor.com//Restaurant_Review-g29786-d491022-Reviews-Albany_Pump_Station_CH_Evans_Brewing_Co-Albany_New_York.html,Check The Website for a Menu,Albany, NY
68,Albarran's Mexican Bar & Grill,7722 Milwaukee Ave," Mexican, Vegetarian Friendly, Vegan Options",4.0,116,"The service was very good, he even gave credit to the kitchen staff for the tips received from his customers.  Employers should have more people like him.
The food was the best I have had in a Mexican restaurant.  I had the trio fajitas which...More",+1 806-771-2869,https://www.tripadvisor.com//Restaurant_Review-g56208-d10067151-Reviews-Albarran_s_Mexican_Bar_Grill-Lubbock_Texas.html,https://albarrans.com/menu/,Lubbock, TX
69,Aldo's Cucina,761 Hamburg Tpke, Italian,4.0,111,"Although the restaurant was not busy the service was spotty and non attentive.  Had to ask for everything- grated parmesan,  pepper, water, new silverware.  Not the dining experience I was looking for.

Food was very good but ""specials"" are pricey. Menu prices reasonable.",+1 973-872-1842,https://www.tripadvisor.com//Restaurant_Review-g46905-d2413655-Reviews-Aldo_s_Cucina-Wayne_New_Jersey.html,Check The Website for a Menu,Wayne, NJ
